1	2	6020
1	3	9010
2	1	12020
2	6	15920
3	1	46810
3	4	34220
3	12	46810
4	3	25820
4	5	28250
4	11	9040
5	4	46850
5	6	13860
5	9	10520
6	2	9920
6	5	9900
6	8	21620
7	8	15680
7	18	46810
8	6	9800
8	7	15680
8	9	10100
8	16	10090
9	5	20000
9	8	10100
9	10	27830
10	9	27830
10	11	20000
10	15	27020
10	16	10270
10	17	9990
11	4	9820
11	10	20000
11	12	9820
11	14	9750
12	3	46810
12	11	9820
12	13	51800
13	12	51800
13	24	10180
14	11	9750
14	15	10260
14	23	9850
15	10	27020
15	14	10260
15	19	9640
15	22	20630
16	8	10090
16	10	10270
16	17	10460
16	18	39360
17	10	9990
17	16	10460
17	19	9650
18	7	46810
18	16	39360
18	20	8110
19	15	4420
19	17	9650
19	20	10010
20	18	8110
20	19	6050
20	21	10120
20	22	10150
21	20	10120
21	22	10460
21	24	9770
22	15	20630
22	20	10150
22	21	10460
22	23	10000
23	14	9850
23	22	10000
23	24	10160
24	13	11380
24	21	9770
24	23	10160
