1	2	0
1	3	0
2	1	0
2	6	0
3	1	0
3	4	0
3	12	0
4	3	0
4	5	0
4	11	0
5	4	0
5	6	0
5	9	0
6	2	0
6	5	0
6	8	0
7	8	0
7	18	0
8	6	0
8	7	0
8	9	0
8	16	0
9	5	0
9	8	0
9	10	0
10	9	0
10	11	0
10	15	0
10	16	0
10	17	0
11	4	0
11	10	0
11	12	0
11	14	0
12	3	0
12	11	0
12	13	0
13	12	0
13	24	0
14	11	0
14	15	0
14	23	0
15	10	0
15	14	0
15	19	0
15	22	0
16	8	0
16	10	0
16	17	0
16	18	0
17	10	0
17	16	0
17	19	0
18	7	0
18	16	0
18	20	0
19	15	0
19	17	0
19	20	0
20	18	0
20	19	0
20	21	0
20	22	0
21	20	0
21	22	0
21	24	0
22	15	0
22	20	0
22	21	0
22	23	0
23	14	0
23	22	0
23	24	0
24	13	0
24	21	0
24	23	0
