1	2	3.6
1	3	2.4
2	1	3.6
2	6	3
3	1	2.4
3	4	2.4
3	12	2.4
4	3	2.4
4	5	1.2
4	11	3.6
5	4	1.2
5	6	2.4
5	9	3
6	2	3
6	5	2.4
6	8	1.2
7	8	1.8
7	18	1.2
8	6	1.2
8	7	1.8
8	9	2
8	16	3
9	5	3
9	8	2
9	10	1.8
10	9	1.8
10	11	3
10	15	3.6
10	16	3
10	17	4.2
11	4	3.6
11	10	3
11	12	3.6
11	14	2.4
12	3	2.4
12	11	3.6
12	13	1.8
13	12	1.8
13	24	2.4
14	11	2.4
14	15	3
14	23	2.4
15	10	3.6
15	14	3
15	19	2.4
15	22	2.4
16	8	3
16	10	3
16	17	1.2
16	18	1.8
17	10	4.2
17	16	1.2
17	19	1.2
18	7	1.2
18	16	1.8
18	20	2.4
19	15	2.4
19	17	1.2
19	20	2.4
20	18	2.4
20	19	2.4
20	21	3.6
20	22	3
21	20	3.6
21	22	1.2
21	24	1.8
22	15	2.4
22	20	3
22	21	1.2
22	23	2.4
23	14	2.4
23	22	2.4
23	24	1.2
24	13	2.4
24	21	1.8
24	23	1.2
